ep_public,air_date,video_id,calendar_id,title
1,2026-08-01,Y8MdxiUgkbo,,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑 | Ep 1
2,2026-08-02,pSpkEbSiTHU,,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑 | Ep 2
3,2026-08-03,Q45WV2CWf9g,,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑 | Ep 3
4,2026-08-04,Qn_fq2PVV9M,,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯 | Ep 4"
5,2026-08-05,xwgEF4W5Qzc,,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed) | Ep 5
6,2026-08-06,ym3I9f7PUd0,E09,Fast vs Deep — Stop Overpaying For AI Answers ⚡ | Ep 6
7,2026-08-07,AjlIpsRV1Xo,E22,Stop Letting Claude Wreck Your Files (Plan Mode) 🛑 | Ep 7
8,2026-08-08,369SVWp1zbI,E20,"The Effort Dial Nobody Uses (Deeper Answers, Free) 🧠 | Ep 8"
9,2026-08-09,wCLwsYKmIwA,E12,"Claude Has A DESKTOP App (Most People Miss It) 🖥️ | Ep 9"
10,2026-08-10,cMvgljptrHw,E16,"Cut Your AI Bill In Half (Most People Miss This) 💸 | Ep 10"
11,2026-08-11,YrjPbZK28Oo,,"Those 20 ""Secret"" Claude Commands? FAKE 🤫 (Here's The Real Trick) | Ep 11"
,2026-08-12,BlQ-gDzw1aE,E26,Everyone Knows You Used AI — One Line Fixes It ✍️
