id,channel,handle,title,views,views_per_day,like_rate,comment_rate,duration,date,age_d,lang
yRFwE3BaMos,Aakash Gupta,@AakashGupta,Karan Aujla on Beat !,1313250,328312,0.0663,0.00027,100,20260819,4,hi
4hCYrE16l8E,Raj Shamani,@rajshamani,Podcast Out Tomorrow | Raj Shamani #Shorts #podcast,889728,222432,0.0304,0.00016,24,20260819,4,en
JQ9wduneteM,Raj Shamani,@rajshamani,Comment “YES” if this helped you understand 👇 | Raj Shamani #Shorts #inspiration,423895,211948,0.0755,0.00056,49,20260821,2,en
UIFOgVpQJAY,Raj Shamani,@rajshamani,Power Of Dedication | Raj Shamani #Shorts #motivation,2740764,210828,0.0333,0.00015,18,20260810,13,en
Ur1Z0AdNW7w,Raj Shamani,@rajshamani,Comment “YES” if this makes sense to you 👇 | Raj Shamani #Shorts #moneymindset,555911,111182,0.0521,0.00077,46,20260818,5,en
WxoiRcbxSxQ,Raj Shamani,@rajshamani,Comment “❤️” if you agree | Raj Shamani #Shorts #relationship,1061578,96507,0.046,0.00037,52,20260812,11,en
Eu6jc8Qld7g,Raj Shamani,@rajshamani,Tomorrow 9:09PM | Raj Shamani #Shorts #podcast,449504,74917,0.0213,0.00022,29,20260817,6,en
QIQ4CgwI_xg,Raj Shamani,@rajshamani,Comment “❤️” if you needed this today | Raj Shamani #Shorts #motivation,74702,74702,0.1321,0.00253,48,20260823,1,en
HoTR9tN-idk,Raj Shamani,@rajshamani,Drop a “RELATE” if this feels familiar | Raj Shamani #Shorts #inspiration,369194,41022,0.0462,0.0003,60,20260814,9,en
h8MxjSpPx-o,Raj Shamani,@rajshamani,Are You Still Looking for the Easy Way Out? | Raj Shamani #Shorts #motivation,470379,31359,0.0503,0.00019,30,20260808,15,en
FdmpR0-XvvU,Varun Mayya,@VarunMayya,This Engineer Saved The Internet From The Worst Cyber Attack,463991,23200,0.04,0.00031,92,20260803,20,en-US
QfqOMlz0u2A,Raj Shamani,@rajshamani,Drop a 💔 if you've felt this. | Raj Shamani #Shorts #relationship,437872,19903,0.0335,0.00052,60,20260801,22,hi
